Street,City,State,ZIP,Phone,Website,Lat,Long
3950 Debarr Road,Anchorage,AK,99508,9073371311,https://locations.dennys.com/AK/ANCHORAGE/249002,61.209458057401,-149.806775520466
5931 ALABAMA HIGHWAY  #157,CULLMAN,AL,35056,8669870723,https://locations.dennys.com/AL/CULLMAN/248546,34.206381986945,-86.874164970067
2190 ROSS CLARK CIRCLE,DOTHAN,AL,36301,8664953770,https://locations.dennys.com/AL/DOTHAN/249311,31.191283003982,-85.400078969728
900 TYSON ROAD,HOPE HULL,AL,36043,8669870672,https://locations.dennys.com/AL/HOPE-HULL/249310,32.19525933703,-86.419857442969
4874 UNIVERSITY DRIVE,HUNTSVILLE,AL,35816,8009912043,https://locations.dennys.com/AL/HUNTSVILLE/248545,34.738271997654,-86.654803020253
2209 SE Walton Blvd,Bentonville,AR,72712,4794647010,https://locations.dennys.com/AR/BENTONVILLE/249243,36.335600179776,-94.187893743714
23236 Interstate 30,Bryant,AR,72022,5016533811,https://locations.dennys.com/AR/BRYANT/249618,34.621567365072,-92.494352335341
900 Crain Drive,Conway,AR,72032,5015046965,https://locations.dennys.com/AR/CONWAY/249534,35.067739801047,-92.414638424485
5910 Rogers Ave,Fort Smith,AR,72903,4794527890,https://locations.dennys.com/AR/FORT-SMITH/249212,35.360068900213,-94.367363115012
43 Bradley Cove Rd,Russellville,AR,72802,4794982390,https://locations.dennys.com/AR/RUSSELLVILLE/249239,35.283725394534,-93.090121584521
4861 W Sunset Ave,Springdale,AR,72762,4797565570,https://locations.dennys.com/AR/SPRINGDALE/247736,36.174983971834,-94.184263038535
8300 State Highway 108,Texarkana,AR,71854,8707723540,https://locations.dennys.com/AR/TEXARKANA/248583,33.513261751976,-93.947966626821
5104 N State Line,Texarkana,AR,71854,8707745438,https://locations.dennys.com/AR/TEXARKANA/249260,33.472988174052,-94.042230180484
3000 Service Loop Rd,West Memphis,AR,72301,8704002094,https://locations.dennys.com/AR/WEST-MEMPHIS/249233,35.154792205015,-90.137148916766
4121 W Anthem Way,Anthem,AZ,85086,6235512704,https://locations.dennys.com/AZ/ANTHEM/247796,33.870435475311,-112.148774169455
10623 E. Main St.,Apache Junction,AZ,85120,4807072973,https://locations.dennys.com/AZ/APACHE-JUNCTION/248896,33.414846725489,-111.600928032585
825 N OCOTILLO RD,BENSON,AZ,85602,5205868816,https://locations.dennys.com/AZ/BENSON/246932,31.980683436608,-110.307472716229
441 S. Watson Rd,Buckeye,AZ,85326,6233868500,https://locations.dennys.com/AZ/BUCKEYE/248688,33.44325563565,-112.555083321666
1762 Highway 95,Bullhead City,AZ,86442,9287639617,https://locations.dennys.com/AZ/BULLHEAD-CITY/248167,35.121184156798,-114.586397909832
1630 W ARIZONA HIGHWAY 260,CAMP VERDE,AZ,86322,9285679505,https://locations.dennys.com/AZ/CAMP-VERDE/246545,34.575233795044,-111.882214421069
1851 E Florence Blvd,Casa Grande,AZ,85122,5208362077,https://locations.dennys.com/AZ/CASA-GRANDE/246750,32.879270186126,-111.708117235316
