Street,City,State,ZIP,Phone,Website,Lat,Long
400 Russell Pkwy,Forsyth,GA,31029,4789745436,https://www.wyndhamhotels.com/laquinta/forsyth-georgia/la-quinta-forsyth/overview,33.043798982652,-83.941139990436
4051 Garden View Drive,Grand Forks,ND,58201,7013141106,https://www.wyndhamhotels.com/laquinta/grand-forks-north-dakota/la-quinta-grand-forks/overview,47.912722983357,-97.086319987237
2240 North 12th St.,Bismarck,ND,58501,7012040024,https://www.wyndhamhotels.com/laquinta/bismarck-north-dakota/la-quinta-bismarck/overview,46.829844795554,-100.773797808575
2355 46th St. S,Fargo,ND,58104,7016399731,https://www.wyndhamhotels.com/laquinta/fargo-north-dakota/la-quinta-fargo-medical-center/overview,46.84298963139,-96.864423433721
552 12th St. W,Dickinson,ND,58601,7013008906,https://www.wyndhamhotels.com/laquinta/dickinson-north-dakota/la-quinta-dickinson/overview,46.894492989823,-102.793408996795
406 Heather Rd.,Guthrie,OK,73044,4052936000,https://www.wyndhamhotels.com/laquinta/guthrie-oklahoma/la-quinta-guthrie/overview,35.881328981314,-97.395660997087
451 West Albany Street,Broken Arrow,OK,74012,9186153400,https://www.wyndhamhotels.com/laquinta/broken-arrow-oklahoma/la-quinta-tulsa-broken-arrow/overview,36.074604981614,-95.796161021942
774 S Lynn Riggs Boulevard,Claremore,OK,74017,9189651877,https://www.wyndhamhotels.com/laquinta/claremore-oklahoma/la-quinta-claremore/overview,36.303003000237,-95.622882021415
11500 I-40 Service Road,Yukon,OK,73099,4054947600,https://www.wyndhamhotels.com/laquinta/yukon-oklahoma/la-quinta-oklahoma-city-yukon/overview,35.467803918701,-97.726532116432
808 S. Meridian Avenue,Oklahoma City,OK,73108,4057027720,https://www.wyndhamhotels.com/laquinta/oklahoma-city-oklahoma/la-quinta-oklahoma-city-airport/overview,35.458305014976,-97.600079019368
1701 N. 32nd Street,Muskogee,OK,74401,9189139541,https://www.wyndhamhotels.com/laquinta/muskogee-oklahoma/la-quinta-muskogee/overview,35.766480982195,-95.403442958092
4829 Northwest Expressway,Oklahoma City,OK,73132,4053673183,https://www.wyndhamhotels.com/laquinta/oklahoma-city-oklahoma/la-quinta-oklahoma-city-nw-expwy/overview,35.545750016135,-97.608893009652
2828 E Arlington St.,Ada,OK,74820,5804365000,https://www.wyndhamhotels.com/laquinta/ada-oklahoma/la-quinta-ada/overview,34.781662306818,-96.636754932649
4300 Carriage Way,Weatherford,OK,73096,5803027112,https://www.wyndhamhotels.com/laquinta/weatherford-oklahoma/la-quinta-weatherford-ok/overview,35.534193006127,-98.654425041123
3413 N 14th St.,Ponca City,OK,74601,5803525096,https://www.wyndhamhotels.com/laquinta/ponca-city-oklahoma/la-quinta-ponca-city/overview,36.745568996643,-97.066097975274
200 Meline Drive,Edmond,OK,73034,4055135353,https://www.wyndhamhotels.com/laquinta/edmond-oklahoma/la-quinta-edmond/overview,35.65151999502,-97.428149002338
